id,title,description,start_date,language
51210,Connected Autonomous Driving,"Wireless transmission between two devices is a mature technology. However, reliable and low-latency wireless transmission for connected autonomous vehicles is technically challenging. The main research objective of our research project is to develop reliable and low-latency wireless communication and autonomous control solutions for connected autonomous vehicles. The MITACS supported interns will team up with our research team towards this objective.",2027-05-03,English
51213,Design and Fabrication of Multi-Modal Wearable Health Sensing Devices,"Physiological sensors are recently receiving increasing attention in the broad field of computing. While long used in areas related to health and rehabilitation, we are now witnessing an impressive array of new applications in interactive computing. For instance, continuous monitoring of electrocardiogram (ECG) signals informs athletes about their performance, monitoring of electrodermal activity (EDA) enhances computer-mediated emotional communication, and surface electromyography (sEMG) allows for gestural input. Despite these advances, designers seeking to develop new applications are confronted with serious restrictions at the level of the computer-body interface: commercial gel-based electrodes are non-conformal, problematic at body locations that deform, and neither ergonomic nor aesthetic to wear during everyday activities. Secondly, the current state-of-the-art physiological sensing devices can capture only a limited set of signals, typically restricted to electrophysiological signals (e.g. EMG, ECG, or other electrical signals). However, monitoring the electrolyte and metabolite concentration by measuring electrochemical activities in the body will present us with a higher level of granularity in determining the state of health. Sensing electrochemical signals can help in determining various vital signals such as blood glucose levels, blood-oxygen levels, characterization of sweat, etc. In this project, we will be developing novel wearable multi-modal health sensing devices that can not only capture the electrophysiological signals but also electrochemical signals. By leveraging state-of-the-art machine learning and optimization techniques, this project aims to create highly optimized wearable health sensing devices. Another anticipated scientific contribution is the development of novel, widely-accessible, and low-cost fabrication techniques for creating these devices. Taken together, the scientific contributions stemming from this project will have a broad and lasting impact as we envision the techniques to be replicated by other researchers, hobbyists, and industry to easily fabricate custom multi-modal wearable health monitoring devices.",2027-05-14,English
51223,Artificial intelligence for resilient industrial control and automation systems,"The project requires the development of computational algorithms based on artificial intelligence/machine learning that integrate with industrial control and automation systems, as follows: - The algorithms would take as input operational data collected from programmable logic controllers (PLCs); - The algorithms then perform computations (e.g., based on clustering, classification, sequence alignment, etc.), to extract knowledge/insights for more effective process operation; and - The algorithms would then provide as output to human operators the extracted knowledge/insights for more effective decision support, e.g., by displaying information on human-machine interface (HMI) screens. In particular, the project will investigate process operation during abnormal conditions, to enable resilient industrial control and automation systems, e.g., in the context of cybersecurity, fault diagnosis, and/or alarm management.",2027-05-03,English
51240,Integrating AI and Remote Sensing for Planning Windbreak Systems,"This project explores how artificial intelligence and remote sensing can support the design of efficient windbreak systems in agricultural and forested landscapes. Interns will analyze satellite imagery and geospatial data to identify areas vulnerable to snow blowing. Using basic machine learning models and GIS tools, they will map optimal locations and configurations for windbreaks. The project combines environmental science and data analysis, offering hands-on experience in geospatial technologies. Expected outcomes include improved land management strategies that enhance climate resilience, protect soils, and support sustainable agroforestry practices.",2027-05-10,English
51253,"Materials, Nanoparticles, and Molecular Clusters and their Reactivity","The successful candidate will receive training in designing, creating, setting up, maintaining, and using molecular maquettes of Fe-S mineral surfaces or nanoparticles, kaolinite nanoparticles with intercalating organic molecules, or blades/saddles/half-pipes/struts of templated carbon materials. In addition to literature data, we have already collected a significant amount of experimental data for samples from our collaborators that will be used to validate the computational maquettes and levels of theory to be applied. The maquettes will be launched to interrogate atomic-scale details of reductive dissolution of pyrite, formation of mackinawite nanoparticles, small organic molecule assisted events of sheet to cube transformation in Fe-S chemistry; intercalation, exchange intercalation, delamination, and exfoliation processes for kaolinite family of minerals; and methane/hydrogen/carbon dioxide physisorption at heteroatom (B,O,N,S,P) doped zeolite templated carbon materials and carbon/graphitic mesosponges. The simulations will cover several orders of magnitude in both spatial and temporal domains. Molecular dynamic calculations will be carried out on the sub-microsecond time-scale for systems with thousand atoms. Some of the computational/chemo-informatics tools have already been developed; however, there is a constant need for developing new algorithms, writing scripts, doing programming, and depending on the data accumulated, potentially training machine learning algorithms and establishing neural networks. Given the maturity of each of the three branches of the research program, each participant is expected to work toward a peer-reviewed scientific publication. Toward this goal, the participants will need to give weekly progress reports and start working on a tentative poster presentation straight off the start as they familiarize themselves with literature (Introduction), computational chemistry (Methodology). Within a few weeks, they are expected to generate results and start analyzing toward scientific discoveries. While roadblocks are anticipated; however, given the power of computational chemistry - those will be dealt with with further computations.",2027-05-02,English
51254,Distributed Deep Neural Networks,"Deep neural networks have shown very promising results in recent years for various image classification and segmentation tasks. However, many patient datasets are typically needed for training these machine learning models to produce highly accurate results. The collection of a suitable number of datasets for model training is often the most limiting factor, especially in a clinical context because of patient privacy concerns as well as unwillingness to share unique patient cases, which is especially relevant for less prevalent diseases. The aim of this proposed research is to develop a novel distributed learning system for training of deep neural networks to overcome the limiting factors of data collection and analysis in a centralized fashion. The main goal of this distributed learning architecture is that the individual patient data does not leave the contributing clinical centers but are only used locally to train the machine learning models, which do not contain any patient data at the individual level anymore. The aim of this research project is to implement and evaluate a traveling model learning approach. The main idea of this approach is that as soon as new data becomes available in a single center, the most recent machine learning model will travel from the central server to the local site where the model parameters are updated using the new available data before traveling back to the central server. The prospective student will develop experience in Python, Tensorflow, and other modern libraries for image processing and machine learning. Additionally, the student may have the opportunity to co-author peer reviewed journal publications.",2027-05-03,English
51257,Visual Motion Analysis from Images and Videos,"This project focuses on analyzing visual behaviors of articulated objects (human and animals) from video feed, a problem that plays a crucial role in many real-life applications ranging from natural user interface to autonomous driving. As a member of the Vision and Learning Lab at the University of Alberta (https://vision-and-learning-lab-ualberta.github.io/), you are expected to work with a graduate student/Postdoc researcher, get familiar with state-of-the-art deep learning, quantum machine learning and computer vision techniques, and gain hands-on research experience on benchmark and home-grown datasets. There are ample opportunities to be involved in exciting research topics in computer vision and to publish",2027-05-03,English
51269,ISAC from the sky: Leveraging non-terrestrial networks for communications and target localization,"The project “ISAC from the sky: Leveraging non‑terrestrial networks for communications and target localization” investigates how aerial platforms, such as satellites, high‑altitude platforms, and unmanned aerial vehicles, can simultaneously provide wireless connectivity and perform sensing tasks. This emerging paradigm, known as ""Integrated Sensing and Communication (ISAC)"", aims to use the same signals, spectrum, and hardware to support both data transmission and the detection or localization of targets on the ground. By focusing on non‑terrestrial networks (NTNs), the project explores how elevated platforms can offer wide coverage, rapid deployment, and improved visibility, making them ideal for applications such as emergency response, environmental monitoring, and intelligent transportation. The research involves developing models and algorithms that allow these aerial systems to balance communication performance with sensing accuracy, while also addressing challenges like interference, mobility, and resource allocation. The project seeks to advance next‑generation wireless systems by designing efficient ISAC‑enabled NTN architectures and evaluating their performance through simulation and analysis. It offers students the opportunity to work at the intersection of wireless communications, signal processing, and emerging aerial network technologies.",2027-05-03,English
51270,Exploring Quantum ML for Data Fusion of Radio and Image Data for Accurate Target Detection in Wireless Environments,"The project aims to explore and develop innovative data fusion techniques using quantum machine learning for integrating radio and image data for target detection in wireless environments. The intern will investigate the challenges and opportunities associated with combining these two distinct types of data, aiming to improve the accuracy of target detection in radio environments. The project will involve a comprehensive study of existing data fusion techniques and their limitations, followed by the development and testing of novel approaches that leverage the power of quantum computing and machine learning. The candidate will also work on real-world datasets. The successful completion of the project could lead to significant advancements in wireless target detection, with potential applications in areas such as surveillance, remote sensing, and communication. This internship will provide the candidate with valuable experience in data analysis, algorithm development, and wireless communication.",2027-05-03,English
51294,Interviewing Children,"This research project will focus on children's memory and honesty during forensic-based interviews. This project will involve a large-scale project to explore children's memory of events as well as their understanding of adult-child interactions. Working with a science summer camp, a research confederate will stage an event and, the following day, children will be interviewed about that event using common police-interviewing protocols. In particular, children will be assessed for: (1) their understanding of what is a typical adult-child interaction; (2) how well they remember the event details; and, (3) children's ability to remember the confederate they saw (eyewitness memory). This project will involve working with 400+ children between the ages of 6 and 15 years-old.",2027-06-01,English
